partner,sim_2024,sim_2025,sim_change,is_key_partner,region,sim_CHN_2024,sim_CHN_2025,sim_CHN_change,sim_RUS_2024,sim_RUS_2025,sim_RUS_change
UGA,-0.3502463536065394,-0.8855745434053636,-0.5353,False,Eastern Africa,0.7308292948165747,0.893375467686478,0.1625,0.3317944948786413,0.6647398843930633,0.3329
SYC,-0.2909144337393055,-0.8255045732832171,-0.5346,False,Eastern Africa,0.6336503867247931,0.8372659068557364,0.2036,0.2381627541147703,0.5889438099587072,0.3508
IRQ,-0.355085536599346,-0.887701217661447,-0.5326,False,Western Asia,0.7885887649541747,0.8903139441563317,0.1017,0.3023255813953488,0.655534646714532,0.3532
LKA,-0.3690737731611876,-0.9016528062876954,-0.5326,False,Southern Asia,0.7688073753174559,0.915961640526918,0.1472,0.3391870864537193,0.687544931922035,0.3484
COG,-0.2840372139975478,-0.8152247293744217,-0.5312,False,Middle Africa,0.6708860759493669,0.8443545889639938,0.1735,0.2426426969089769,0.6108995127495929,0.3683
AGO,-0.3592878785739777,-0.8896249683263511,-0.5303,False,Middle Africa,0.7365429242103548,0.8977852411044808,0.1612,0.3176690436011328,0.6781314849199768,0.3605
MAR,-0.3353353533357125,-0.8619968637199427,-0.5267,False,Northern Africa,0.7242672088068489,0.8636921306827917,0.1394,0.3059035234677575,0.6325428136648523,0.3266
ARE,-0.3658808666323009,-0.8896249683263511,-0.5237,True,Western Asia,0.7500586006173493,0.8864208709639178,0.1364,0.3234983196103151,0.6724329010130863,0.3489
GMB,-0.315157303217581,-0.8379188724993863,-0.5228,False,Western Africa,0.6833484562718357,0.8616606486857552,0.1783,0.2500708918205088,0.6096382405784158,0.3596
GIN,-0.3436164855716713,-0.8640004959449892,-0.5204,False,Western Africa,0.7547319081399405,0.8708293286898476,0.1161,0.3255139049650281,0.6196011333546355,0.2941
GNQ,-0.3107540676226043,-0.8263362881373008,-0.5156,False,Middle Africa,0.7339903602012985,0.8679588068689978,0.134,0.3451057175812341,0.6269773818251261,0.2819
ETH,-0.3728506522686086,-0.887280722626915,-0.5144,False,Eastern Africa,0.777085826883617,0.8773280079294945,0.1002,0.3296607460912155,0.6510963884241663,0.3214
SAU,-0.3581338785186472,-0.8681879507477303,-0.5101,True,Western Asia,0.7088607594936706,0.8869900569688042,0.1781,0.3033033711362211,0.7093143138234859,0.406
EGY,-0.3927045549390529,-0.8997924409449165,-0.5071,True,Northern Africa,0.7924685035469374,0.9022988505747118,0.1098,0.3496260460735486,0.6916455233701769,0.342
LSO,-0.3436164855716713,-0.8506266701244073,-0.507,False,Southern Africa,0.7421530430042749,0.8805600352339583,0.1384,0.2893456933022472,0.6433188564589812,0.354
IDN,-0.3832404038122429,-0.8888921530165942,-0.5057,True,South-eastern Asia,0.7733700704208726,0.9029309219242668,0.1296,0.3176690436011328,0.6595885250216675,0.3419
MOZ,-0.3752639502927208,-0.8804995758690564,-0.5052,False,Eastern Africa,0.679543028513657,0.8997171604461671,0.2202,0.3440831798741465,0.6724248981115515,0.3283
NAM,-0.3515216074349942,-0.8540739687201391,-0.5026,False,Southern Africa,0.7703200779791602,0.8722988373572929,0.102,0.3215197180549399,0.6351406010459216,0.3136
LBN,-0.4121287811306829,-0.9100851223441084,-0.498,False,Western Asia,0.7951691127526815,0.8966435188521158,0.1015,0.3691522688778939,0.6575628442615364,0.2884
KNA,-0.3880752628531665,-0.8840993474050693,-0.496,False,Caribbean,0.6762236915493706,0.8807386858936362,0.2045,0.2795807122764419,0.6325428136648523,0.353
LBY,-0.3927045549390529,-0.8860723579948099,-0.4934,False,Northern Africa,0.7547319081399405,0.8825251127943297,0.1278,0.3014017638565075,0.6551832340574091,0.3538
OMN,-0.402468953295531,-0.887701217661447,-0.4852,False,Western Asia,0.775060553971261,0.895948842537068,0.1209,0.3474611580999681,0.6837904504522274,0.3363
TJK,-0.4038252524910564,-0.8855745434053636,-0.4817,False,Central Asia,0.7477308634179045,0.9221940311602352,0.1745,0.3967192679090571,0.7167630057803466,0.32
KGZ,-0.4127903453219929,-0.8916451401205634,-0.4789,False,Central Asia,0.7949371276952217,0.9169092080980048,0.122,0.3932379198561674,0.6781721194629322,0.2849
ERI,-0.4119737464108566,-0.8785737264837877,-0.4666,False,Eastern Africa,0.7976299510425996,0.8977852411044809,0.1002,0.415966719132291,0.6952272366406484,0.2793
ZWE,-0.4390570399587611,-0.9046625460637994,-0.4656,False,Eastern Africa,0.8500664140329959,0.9302954520619292,0.0802,0.467275350548233,0.7055663465841937,0.2383
DZA,-0.4363716506089584,-0.9011533136409104,-0.4648,False,Northern Africa,0.8200181475262028,0.915385729888092,0.0954,0.3810604065836324,0.6913540742666805,0.3103
UZB,-0.4154971962618501,-0.8688100585711453,-0.4533,False,Central Asia,0.7614329560565093,0.8636462086193357,0.1022,0.4329243589958814,0.674990848382923,0.2421
PRY,0.0787160302932578,-0.3711916231079622,-0.4499,False,South America,0.2823948219125803,0.3817090475595641,0.0993,-0.1675502602236018,0.1658846207472899,0.3334
NGA,-0.3728506522686086,-0.8219079514638667,-0.4491,True,Western Africa,0.7643467149674922,0.8328574419500335,0.0685,0.3052414315659403,0.593963431771666,0.2887
SLB,-0.4022951595936451,-0.8468349231778701,-0.4445,False,Melanesia,0.618531136686604,0.8649453467392405,0.2464,0.2898251396845981,0.6255020965294417,0.3357
